Temperature,Humidity,Wind Speed,Precipitation
25.0,71,19,5.1
28.2,80,12,4.6
18.9,73,14,2.6
27.0,77,9,3.1
28.2,94,14,4.1
23.9,53,7,2.0
23.7,67,11,2.0
20.7,93,14,4.0
27.6,79,20,2.6
28.0,67,12,1.7
27.5,81,8,0.3
22.6,74,5,4.5
27.4,55,16,5.7
27.3,91,5,0.8
29.3,81,10,0.7
21.0,93,17,3.2
26.1,75,7,6.0
23.7,60,12,1.1
24.1,94,15,3.2
24.8,70,9,2.6
26.3,66,19,4.2
29.4,92,8,0.6
22.8,86,12,1.8
29.1,91,20,3.1
19.1,69,11,2.3
19.8,89,17,3.1
22.6,57,5,4.9
25.4,83,10,0.5
24.3,70,12,4.6
29.0,84,10,3.3
21.8,66,11,0.1
20.9,95,9,0.5
21.8,85,17,3.9
28.8,80,8,5.5
25.5,86,8,0.0
25.4,90,11,5.4
20.1,80,16,4.5
29.3,50,19,3.1
22.0,69,6,0.0
24.0,50,13,3.0
28.1,63,8,4.1
25.0,73,13,4.3
24.6,80,12,3.2
26.5,73,9,2.1
21.5,63,6,4.5
26.2,86,5,2.1
23.3,84,7,4.0
27.1,79,7,5.2
22.5,93,17,5.4
22.0,75,14,4.2
18.5,83,18,1.5
24.5,85,20,0.8
21.5,67,14,2.2
27.9,68,16,4.9
23.4,91,10,0.0
25.9,83,17,3.6
19.7,95,20,0.4
21.8,90,18,3.3
24.9,92,18,4.8
27.6,80,20,2.9
18.4,77,16,4.4
23.1,92,12,2.0
25.9,93,12,4.1
25.0,59,17,5.2
20.4,93,14,3.9
22.0,82,16,4.9
21.8,84,10,3.0
21.2,52,20,0.2
24.6,81,6,5.2
25.4,80,17,4.9
29.1,52,7,2.9
27.1,73,12,2.0
19.0,95,6,4.7
27.7,82,20,1.1
25.3,90,16,0.9
30.0,87,19,3.3
27.1,89,12,4.5
28.1,53,19,3.0
25.4,89,15,4.1
21.3,81,13,3.4
26.4,86,11,0.8
20.1,74,12,0.8
21.5,67,14,2.5
22.4,57,6,5.2
19.1,93,11,4.7
23.5,77,10,1.9
20.5,80,18,1.7
25.7,60,9,2.2
21.7,51,20,5.0
21.4,52,6,5.7
28.4,76,7,4.4
27.6,76,13,2.8
28.6,76,12,1.0
27.8,74,6,2.8
23.9,62,12,1.3
28.2,65,5,1.3
29.9,65,11,1.8
19.9,66,9,5.0
21.8,61,14,4.0
25.0,65,9,4.6
29.8,77,8,2.5
24.2,65,6,3.2
19.2,80,13,3.1
23.7,90,13,0.5
27.2,60,12,3.6
27.0,67,14,2.1
23.3,78,19,4.1
22.1,93,17,2.2
19.9,90,20,2.0
26.0,85,18,3.4
26.4,57,12,0.9
26.1,94,13,1.0
20.5,53,8,0.7
20.5,59,13,1.6
18.7,58,14,2.9
26.0,67,9,1.6
29.2,87,12,1.0
20.6,84,5,3.9
25.3,94,19,3.7
18.5,56,11,0.3
19.3,59,16,0.6
18.8,51,17,3.1
22.2,80,18,3.4
25.1,91,6,0.9
23.3,81,17,1.7
19.6,81,16,0.7
25.4,58,13,2.7
20.8,85,16,4.5
21.5,52,8,4.8
21.7,83,18,5.1
25.1,78,9,2.5
27.8,74,5,1.3
25.6,58,12,2.8
21.0,94,5,3.6
26.4,69,9,2.3
23.3,60,19,0.0
21.5,54,20,4.0
22.6,91,17,3.9
21.7,61,5,4.3
24.3,92,13,3.1
18.1,55,12,0.5
25.1,86,5,1.1
20.1,64,10,2.6
28.9,86,8,1.8
20.6,56,16,5.5
24.1,91,16,4.4
20.4,62,6,3.0
18.1,86,9,0.1
24.2,61,9,4.2
20.4,77,9,0.2
19.1,69,15,2.9
21.2,81,5,0.5
29.2,68,14,1.8
24.7,75,5,0.3
22.1,93,15,1.3
27.5,59,18,0.2
22.0,68,5,6.0
29.1,70,12,4.2
28.8,86,12,1.4
23.5,95,12,6.0
18.8,63,11,3.5
19.5,84,16,2.4
19.7,59,7,0.7
18.5,68,18,3.8
22.1,68,12,1.4
18.7,72,12,5.5
21.4,90,9,1.3
19.3,88,13,4.0
21.7,55,16,0.1
26.7,57,8,5.0
27.6,74,12,4.5
26.5,56,10,2.8
23.8,78,5,4.1
22.1,73,5,1.9
28.2,62,19,0.8
22.4,55,6,3.4
19.3,71,20,5.0
26.3,66,14,2.8
18.5,55,19,3.7
19.6,87,7,5.4
21.5,94,11,0.0
26.9,92,20,5.1
23.5,72,16,0.0
28.5,88,11,1.3
21.2,56,6,3.2
29.4,58,14,5.5
27.7,64,7,0.2
23.3,53,10,0.1
21.0,90,11,1.9
20.3,65,16,4.3
18.5,53,9,2.8
24.7,85,13,0.3
23.3,75,10,2.4
21.9,81,20,3.6
22.2,86,6,0.0
24.3,77,18,0.4
27.3,64,13,0.4
22.4,75,17,3.3
28.3,81,9,4.8
26.7,69,9,4.8
